homelat,homelon,type,n
26.2776,72.651,Solar,1
19.7197,76.733,Hydro,22.5
16.8265,73.9269,Wind,9
21.111,72.655,Gas,515
22.1421,69.8442,Wind,11.2
13.7276,76.5137,Wind,68.8
19.6274,73.7839,Wind,20
24.772,87.894,Coal,2100
28.3452,77.3615,Gas,431.586
9.1269,77.6458,Wind,4.25
22.3758,73.1017,Gas,310
23.0272,69.9494,Wind,39
25.1521,76.182,Gas,35
32.2417,76.2787,Hydro,10.5
29.1411,78.9632,Gas,225
21.8242,73.1136,Gas,648
34.2236,74.7781,Hydro,15
25.2502,72.6765,Coal,630
24.6997,75.5529,Hydro,115
31.268,76.492,Hydro,77.65
17.0386,82.1286,Gas,468.57
19.9324,79.104,Coal,120
17.1309,73.9765,Wind,23.1
31.5425,77.7786,Hydro,22.5
16.1424,74.6447,Hydro,32
19.5334,73.6509,Hydro,250
30.2666,75.1661,Coal,920
19.9306,79.12,Coal,30
30.5307,77.4968,Hydro,60
14.6534,75.8613,Wind,23.1
20.2723,78.9793,Coal,600
30.2335,74.9247,Coal,440
17.0587,82.3097,Gas,205.24
31.3841,75.1464,Coal,540
20.0058,79.1845,Coal,25
16.9248,81.8111,Gas,768
17.1084,77.1325,Coal,55
23.4263,91.8223,Hydro,15
15.3418,75.5868,Wind,25.6
27.4269,72.3896,Solar,3
27.4296,72.3969,Solar,5
23.1534,72.669,Solar,1
11.6117,92.7109,Solar,5
27.6003,72.2241,Solar,50
26.6532,72.5377,Solar,1
18.3055,76.6551,Solar,5
21.3131,69.9187,Wind,7.5
30.4613,74.6188,Solar,1.8
25.86,74.6567,Solar,5
28.4272,77.1596,Solar,3
22.1042,88.1764,Coal,600
15.2615,76.3379,Hydro,36
16.6038,74.4045,Biomass,24
22.604,82.5977,Hydro,120
17.1202,76.4004,Biomass,25.5
22.3256,69.7399,Gas,156.1
21.1652,72.6613,Gas,351.43
19.2829,77.1384,Biomass,18.9
21.5337,83.8754,Hydro,331.5
13.9808,76.6279,Biomass,25
15.3654,75.5639,Wind,34.4
21.3027,74.3091,Wind,25.5
10.8674,77.4588,Wind,21
27.2492,70.6722,Wind,27.3
22.0335,70.2313,Wind,88.8
28.0179,78.1326,Coal,605
15.1997,75.762,Wind,49
17.9054,76.3224,Solar,20
21.6872,83.86,Coal,420
28.6194,77.2504,Gas,270
10.207,76.7137,Hydro,75
9.8503,77.0555,Hydro,780
20.8102,79.0556,Coal,270
22.8396,76.1906,Wind,24
21.658,83.92,Coal,350
22.0774,88.0995,Coal,300
22.2791,76.4728,Hydro,1000
28.4849,76.3754,Coal,1500
11.5214,79.7515,Coal,1200
16.6208,76.0223,Wind,100.8
22.4809,72.5235,Solar,1
16.4018,74.6641,Solar,3
25.0369,75.6778,Hydro,99
27.601,72.2242,Biomass,50
27.0297,88.8747,Hydro,36
25.8888,71.3236,Coal,1080
24.6963,73.0017,Coal,66
24.5286,81.1698,Coal,63.5
24.565,81.1748,Coal,54.5
24.3272,81.3293,Coal,155
16.9312,81.86,Gas,445.674
14.2273,74.7994,Hydro,139.2
22.7554,86.2491,Coal,427.5
27.1598,88.2924,Hydro,96
17.297,73.212,Coal,1200
20.8772,71.2801,Solar,15
23.7162,87.0695,Solar,2
23.2409,70.509,Wind,91.8
23.208,70.5465,Wind,10.5
26.5255,72.7629,Wind,29.6
22.7532,70.3961,Wind,33
21.2261,74.2393,Wind,10.25
10.4104,77.0435,Hydro,400
23.3045,73.8254,Hydro,240
14.8901,74.3916,Hydro,150
25.2349,87.2635,Coal,2340
14.865,74.4385,Nuclear,880
18.3835,79.8265,Coal,1100
9.3275,76.9717,Hydro,50
21.2384,73.3489,Nuclear,440
15.2761,74.5268,Hydro,855
15.2761,74.5268,Hydro,100
24.5295,76.0986,Coal,1200
8.9553,77.0697,Hydro,15
17.3821,77.4389,Coal,30
24.6266,80.831,Coal,12
20.87,85.2671,Coal,1050
17.7384,73.917,Hydro,4
17.1657,74.2459,Biomass,16
10.9325,79.8216,Gas,32.5
25.9552,92.5171,Hydro,100
31.5156,78.1073,Hydro,1000
34.5605,76.1299,Hydro,3.75
11.1208,79.5287,Gas,119.8
22.389,82.5549,Coal,270
12.4837,74.9929,Oil,21.84
22.1335,75.4568,Coal,10
27.341,95.408,Gas,291
24.7773,76.737,Coal,1320
21.175,72.6879,Gas,645
9.2404,76.4283,Gas,350
14.7753,75.3131,Biomass,18
18.3803,73.6116,Hydro,16
28.017,80.8307,Coal,90
25.5177,92.6679,Hydro,50
30.3508,77.6017,Hydro,72
28.9232,80.0243,Hydro,41.4
30.5085,77.8001,Hydro,120
18.7817,73.3558,Hydro,72
18.7712,73.259,Coal,60
34.649,74.7514,Hydro,330
12.4806,77.0411,Biomass,26
14.955,74.5904,Hydro,120
8.5319,77.3125,Hydro,100
24.3858,85.5517,Coal,1000
11.2054,75.8067,Oil,96
22.4157,87.8713,Coal,1260
31.382,76.8761,Hydro,800
16.0327,74.4583,Biomass,20
16.589,74.2993,Biomass,20
16.689,74.1201,Biomass,17.5
12.1056,76.7606,Biomass,16
16.7346,81.8622,Gas,445
16.64,80.5504,Gas,1458
25.5177,92.6679,Hydro,225
12.702,76.9787,Biomass,26
15.316,76.2507,Coal,12
21.2414,79.096,Coal,2400
22.3881,82.6858,Coal,2600
22.3828,82.7188,Coal,890
22.4118,82.6888,Coal,1340
26.497,86.9549,Hydro,20
25.1712,75.8171,Coal,1240
25.1386,75.8883,Coal,125
30.2594,78.4971,Hydro,400
31.268,76.492,Hydro,77.65
10.5415,79.4507,Gas,107.88
17.4599,73.684,Hydro,1956
10.9328,77.0912,Wind,12
16.4994,75.8349,Coal,2400
30.4289,77.6296,Hydro,30
11.2861,76.6511,Hydro,555
8.1691,77.1327,Nuclear,2000
16.2651,75.5302,Biomass,16.5
27.0786,82.0841,Coal,90
23.6626,68.7843,Coal,290
9.9356,77.1068,Hydro,21
11.076,79.57,Gas,101
11.5484,75.8988,Hydro,125
11.5484,75.8988,Hydro,100
