homelat,homelon,type,n
24.0983,82.6719,Coal,4760
18.121,74.0968,Hydro,9
30.5669,79.5468,Hydro,400
17.5635,83.1382,Coal,1040
19.108,74.9885,Wind,50.4
21.4239,73.1273,Solar,5
17.0552,76.9775,Coal,75
22.8725,73.3588,Coal,1470
20.2727,78.9792,Coal,540
20.6964,78.6385,Coal,80
17.1401,73.866,Hydro,16
30.3033,77.5684,Hydro,62.4
22.3172,72.4397,Solar,15
20.301,79.0237,Solar,25
9.8881,77.2216,Wind,3.6
8.8709,77.4466,Wind,34.65
27.1715,70.6877,Wind,42
30.1081,77.3257,Coal,600
17.1653,74.2456,Biomass,16
13.1156,77.5838,Oil,106.6
16.2949,77.3568,Coal,1600
12.8932,78.1654,Solar,3
15.2758,75.5811,Wind,25.5
24.35,73.7477,Coal,80
9.9344,77.4768,Wind,16.5
